date,None,D0,D1,D2,D3,D4,precip,temp,pdsi,MH_water_level,S_water_level
2000-01-01,73.765,26.235,12.515,0.08,0.0,0.0,1.68,19.3,-2.97,175.92,183.16
2000-02-01,40.517999999999994,59.482000000000006,8.258,0.716,0.0,0.0,1.42,26.5,-2.73,175.87,183.08
2000-03-01,43.2025,56.7975,13.305,2.7275,0.0,0.0,1.62,38.8,-3.17,175.9,183.08
2000-04-01,27.759999999999998,72.24000000000001,44.5525,6.2875000000000005,0.0,0.0,2.41,42.4,-2.98,175.92,183.12
2000-05-01,34.042,65.958,28.639999999999997,0.0,0.0,0.0,4.64,56.6,0.73,176.0,183.16
2000-06-01,60.4225,39.5775,7.2025,0.0,0.0,0.0,4.07,63.5,1.09,176.1,183.24
2000-07-01,88.27000000000001,11.73,0.0,0.0,0.0,0.0,3.45,66.1,1.59,176.13,183.33
2000-08-01,83.098,16.901999999999997,3.1399999999999997,0.0,0.0,0.0,2.85,66.1,1.38,176.13,183.31
2000-09-01,83.615,16.385,4.9075,0.0,0.0,0.0,3.95,58.0,1.63,176.09,183.27
2000-10-01,68.97,31.03,5.236,0.0,0.0,0.0,1.63,50.8,0.98,175.98,183.2
2000-11-01,60.775,39.225,11.365,0.0,0.0,0.0,2.77,36.2,0.9,175.89,183.15
2000-12-01,70.99249999999999,29.0075,6.5875,0.0,0.0,0.0,2.53,15.9,1.28,175.81,183.06
2001-01-01,87.04,12.960000000000003,0.0,0.0,0.0,0.0,1.23,23.4,0.81,175.77,182.98
2001-02-01,96.76,3.24,0.0,0.0,0.0,0.0,2.63,22.1,1.55,175.78,182.94
2001-03-01,100.0,0.0,0.0,0.0,0.0,0.0,0.71,29.4,-0.88,175.78,182.91
2001-04-01,99.34,0.66,0.0,0.0,0.0,0.0,3.12,46.1,0.03,175.85,183.01
2001-05-01,99.826,0.174,0.0,0.0,0.0,0.0,4.71,57.2,0.75,175.95,183.24
2001-06-01,100.0,0.0,0.0,0.0,0.0,0.0,3.24,64.4,-0.12,176.06,183.33
2001-07-01,63.715999999999994,36.284000000000006,3.34,0.0,0.0,0.0,2.02,68.4,-0.6,176.05,183.36
2001-08-01,29.515,70.485,28.54,4.9725,0.0,0.0,3.38,69.6,-0.8,176.03,183.39
2001-09-01,39.98,60.02,16.855,0.0,0.0,0.0,4.25,57.7,0.37,176.01,183.37
2001-10-01,100.0,0.0,0.0,0.0,0.0,0.0,5.47,47.8,1.81,176.03,183.3
2001-11-01,100.0,0.0,0.0,0.0,0.0,0.0,2.44,43.6,1.67,176.05,183.29
2001-12-01,100.0,0.0,0.0,0.0,0.0,0.0,1.97,31.9,1.61,176.05,183.3
2002-01-01,100.0,0.0,0.0,0.0,0.0,0.0,1.12,27.5,1.03,175.99,183.22
2002-02-01,100.0,0.0,0.0,0.0,0.0,0.0,2.13,27.4,1.38,175.95,183.14
2002-03-01,99.9525,0.0475,0.0,0.0,0.0,0.0,2.59,27.4,1.66,175.99,183.11
2002-04-01,100.0,0.0,0.0,0.0,0.0,0.0,3.57,43.4,2.01,176.06,183.14
2002-05-01,100.0,0.0,0.0,0.0,0.0,0.0,3.83,49.7,2.55,176.19,183.26
2002-06-01,100.0,0.0,0.0,0.0,0.0,0.0,3.01,65.6,-0.33,176.29,183.31
2002-07-01,75.748,24.252,5.912,0.0,0.0,0.0,3.22,72.4,-0.33,176.33,183.36
2002-08-01,69.7075,30.2925,2.1550000000000002,0.0,0.0,0.0,3.51,68.0,-0.33,176.32,183.4
2002-09-01,64.715,35.285,10.2475,0.0,0.0,0.0,2.13,63.3,-1.4,176.24,183.42
2002-10-01,28.698,71.30199999999999,47.05,0.0,0.0,0.0,3.07,44.5,-1.16,176.14,183.44
2002-11-01,28.7075,71.2925,56.2725,0.0,0.0,0.0,1.58,33.7,-1.81,176.01,183.36
2002-12-01,25.742,74.25800000000001,57.898,1.22,0.0,0.0,1.14,26.0,-2.46,175.91,183.26
2003-01-01,0.0,100.0,80.72,25.619999999999997,0.0,0.0,0.86,16.7,-2.86,175.82,183.16
2003-02-01,0.0,100.0,71.1625,37.1025,0.0,0.0,1.06,16.3,-2.88,175.75,183.07
2003-03-01,0.0025,99.9975,83.82249999999999,52.1725,0.0,0.0,1.97,29.3,-2.6,175.73,183.03
2003-04-01,27.080000000000002,72.92,60.028,8.175999999999998,0.0,0.0,2.79,41.4,-2.15,175.82,183.08
2003-05-01,74.855,25.145000000000003,6.8575,0.0,0.0,0.0,3.99,52.8,-1.31,175.92,183.18
